Year,Lat,Lon,days_below_55F,days_below_32F,days_below_28F,days_below_26F,annual_min_temp_F
1956,34.75,-82.25,183,42,24,13,21.450323
1956,34.75,-82.0,175,39,13,6,22.86712
1956,34.75,-81.75,175,37,14,8,22.35384
1956,34.75,-81.5,175,33,11,7,23.45423
1956,34.75,-81.25,173,27,10,6,22.8992
1956,34.75,-81.0,177,30,12,6,23.015217
1956,34.75,-80.75,178,33,16,8,21.362873
1956,34.75,-80.5,179,34,19,10,20.476934
1956,34.75,-80.25,175,33,17,10,20.871563
1956,34.75,-80.0,174,33,17,10,22.035236
1956,34.75,-79.75,175,33,18,10,21.232794
1956,34.75,-79.5,174,33,19,10,21.183575
1956,34.75,-79.25,173,33,19,11,21.651154
1956,34.75,-79.0,172,35,18,11,21.408575
1956,34.75,-78.75,170,33,18,14,22.012823
1956,34.75,-78.5,168,33,16,10,22.378448
1956,34.75,-78.25,169,31,16,10,22.670246
1956,34.75,-78.0,169,32,17,9,22.290558
1956,34.75,-77.75,169,29,14,6,23.298223
1956,34.75,-77.5,167,27,8,5,23.632208
1956,34.75,-77.25,159,23,7,2,25.179083
1956,34.75,-77.0,151,18,1,0,27.18255
1956,34.5,-95.0,187,45,24,20,6.791485
1956,34.5,-94.75,188,48,24,19,8.514582
1956,34.5,-94.5,192,47,24,18,11.014191
1956,34.5,-94.25,189,51,25,16,11.745441
1956,34.5,-94.0,189,49,25,18,9.706379
1956,34.5,-93.75,185,41,22,15,9.94544
1956,34.5,-93.5,179,39,20,10,12.289923
1956,34.5,-93.25,176,35,17,10,15.288752
1956,34.5,-93.0,178,37,18,9,18.272198
1956,34.5,-92.75,172,35,17,8,20.58548
1956,34.5,-92.5,171,36,17,8,20.683918
1956,34.5,-92.25,168,35,15,8,22.744074
1956,34.5,-92.0,167,35,13,9,24.493097
1956,34.5,-91.75,167,32,13,7,24.54715
1956,34.5,-91.5,169,35,14,6,23.99168
1956,34.5,-91.25,167,35,16,7,23.529816
1956,34.5,-91.0,164,33,12,4,23.394024
1956,34.5,-90.75,161,31,10,4,23.343487
1956,34.5,-90.5,162,30,10,4,23.007305
1956,34.5,-90.25,165,34,12,4,22.37801
1956,34.5,-90.0,169,34,14,4,22.076105
1956,34.5,-89.75,172,31,11,4,23.158916
1956,34.5,-89.5,175,32,11,5,23.48631
1956,34.5,-89.25,174,33,13,6,23.212091
1956,34.5,-89.0,174,34,15,6,22.011505
1956,34.5,-88.75,173,34,13,5,21.695099
1956,34.5,-88.5,173,34,13,5,22.070393
1956,34.5,-88.25,174,35,13,5,22.25672
1956,34.5,-88.0,176,38,13,5,22.370098
1956,34.5,-87.75,177,41,13,8,21.104473
1956,34.5,-87.5,179,41,19,9,20.345098
1956,34.5,-87.25,174,37,13,7,21.553595
1956,34.5,-87.0,176,36,11,7,22.922052
1956,34.5,-86.75,174,36,12,6,22.704082
1956,34.5,-86.5,178,36,13,7,22.131037
1956,34.5,-86.25,183,35,9,6,22.225958
1956,34.5,-86.0,183,37,11,7,21.786505
1956,34.5,-85.75,187,43,13,8,21.818146
1956,34.5,-85.5,187,43,15,10,22.605646
1956,34.5,-85.25,186,41,14,11,22.327911
1956,34.5,-85.0,182,39,16,11,23.063557
1956,34.5,-84.75,185,42,16,10,22.399103
1956,34.5,-84.5,190,49,17,11,21.400665
1956,34.5,-84.25,192,50,17,11,21.006916
1956,34.5,-84.0,193,49,17,10,21.439337
1956,34.5,-83.75,193,44,14,9,21.942072
1956,34.5,-83.5,186,39,13,7,22.546759
1956,34.5,-83.25,180,32,12,5,23.777227
1956,34.5,-83.0,179,33,11,6,24.304132
1956,34.5,-82.75,178,34,10,5,22.359552
1956,34.5,-82.5,179,35,15,8,22.646076
1956,34.5,-82.25,179,39,18,9,22.388996
1956,34.5,-82.0,175,39,16,8,22.599934
1956,34.5,-81.75,170,30,10,5,23.77415
1956,34.5,-81.5,168,27,9,3,24.833233
1956,34.5,-81.25,167,25,8,2,25.067902
1956,34.5,-81.0,170,25,9,3,24.685577
1956,34.5,-80.75,173,29,10,6,22.968634
1956,34.5,-80.5,175,31,13,8,22.294952
1956,34.5,-80.25,170,31,16,10,20.501545
1956,34.5,-80.0,171,30,17,10,21.282892
1956,34.5,-79.75,169,30,16,9,21.299591
1956,34.5,-79.5,169,30,16,10,20.860138
1956,34.5,-79.25,166,30,16,11,20.744122
1956,34.5,-79.0,167,29,15,8,22.41756
1956,34.5,-78.75,167,31,17,10,21.985138
1956,34.5,-78.5,166,32,17,9,22.61048
1956,34.5,-78.25,166,30,17,7,22.631573
1956,34.5,-78.0,166,30,16,7,22.81219
1956,34.5,-77.75,151,15,2,0,27.358332
1956,34.25,-95.0,179,34,21,16,9.428204
1956,34.25,-94.75,178,34,21,15,11.356964
1956,34.25,-94.5,179,35,21,13,11.358282
1956,34.25,-94.25,180,36,22,12,14.395782
1956,34.25,-94.0,177,35,23,12,15.482111
1956,34.25,-93.75,174,34,19,11,18.15838
1956,34.25,-93.5,174,34,17,10,19.458282
1956,34.25,-93.25,173,35,17,7,21.465704
1956,34.25,-93.0,172,38,17,7,22.793293
1956,34.25,-92.75,168,34,15,4,23.281963
1956,34.25,-92.5,165,32,15,4,24.368292
1956,34.25,-92.25,165,36,14,5,24.243048
1956,34.25,-92.0,166,36,13,6,24.369171
1956,34.25,-91.75,164,29,10,5,24.682062
1956,34.25,-91.5,166,30,8,5,24.151203
1956,34.25,-91.25,164,32,7,4,23.599249
1956,34.25,-91.0,158,31,7,3,23.506525
1956,34.25,-90.75,158,28,8,4,23.088165
1956,34.25,-90.5,159,27,11,4,22.307697
1956,34.25,-90.25,164,29,13,6,21.797932
1956,34.25,-90.0,167,27,11,4,22.97962
1956,34.25,-89.75,166,26,6,3,24.069464
1956,34.25,-89.5,168,28,6,4,24.065948
1956,34.25,-89.25,170,31,11,5,23.013458
1956,34.25,-89.0,173,33,13,6,21.765411
1956,34.25,-88.75,172,33,10,7,21.683233
1956,34.25,-88.5,170,33,9,6,21.789143
1956,34.25,-88.25,172,36,11,7,22.078302
1956,34.25,-88.0,175,40,13,7,21.543926
